"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type"
"1415544424100","37.4705","-118.7913333","3.156","0.48","""md""","17","160","0.1234","0.03","""nc""","id210","1486263777589","""25km SE of Mammoth Lakes, California""","earthquake"
"1415543066530","42.1385","-111.881","5.49","1.43","""md""","12","136","0.2135","0.04","""uu""","id215","1415636135940","""4km N of Preston, Idaho""","earthquake"
"1415542881090","38.8031654","-122.7953339","4.122","0.05","""md""","5","157","0.004505","0.01","""nc""","id217","1486263772501","""Northern California""","earthquake"
"1415542810970","34.1938333","-117.2713333","8.227","0.97","""ml""","35","58","0.01175","0.18","""ci""","id218","1457689811319","""6km SSE of Crestline, CA""","earthquake"
"1415542718160","34.2795","-116.8703333","9.65","0.97","""ml""","27","58","0.04514","0.14","""ci""","id219","1457757041073","""3km NW of Big Bear City, CA""","earthquake"
"1415542477130","38.8359985","-122.8066635","1.771","0.78","""md""","7","208","0.01261","0.01","""nc""","id220","1486263767641","""7km WNW of Cobb, California""","earthquake"
"1415541531830","38.8209991","-122.8441696","1.879","0.57","""md""","10","91","0.007207","0.02","""nc""","id222","1486263762423","""9km WNW of The Geysers, California""","earthquake"
"1415541075410","38.8193333","-122.7661667","0.409","0.22","""md""","4","230","0.01171","0.02","""nc""","id224","1486263757469","""Northern California""","earthquake"
"1415540764913","41.6588","-119.7409","13.3245","1.89","""ml""","3","272","0.485","0.0031","""nn""","id227","1420237095388","""69km ENE of Alturas, California""","earthquake"
"1415540694500","38.8204994","-122.7785034","1.757","0.9","""md""","12","60","0.007207","0.02","""nc""","id228","1486263752657","""4km W of Cobb, California""","earthquake"
"1415540620250","38.8218346","-122.7774963","1.674","0.88","""md""","11","91","0.01081","0.02","""nc""","id229","1486263747547","""4km W of Cobb, California""","earthquake"
"1415540533420","38.8203333","-122.7765","2.107","1.54","""md""","51","43","0.008108","0.06","""nc""","id230","1486263740850","""4km W of Cobb, California""","earthquake"
"1415540447369","41.8718","-119.6069","0","3.63","""ml""","4","132.75","0.519","0.0929","""nn""","id231","1422672613040","""70km ESE of Lakeview, Oregon""","earthquake"
"1415539843620","46.4483333","-122.4113333","20.938","0.57","""md""","8","180","0.1508","0.06","""uw""","id234","1469216462040","""16km SW of Morton, Washington""","earthquake"
"1415538874540","34.2823333","-117.0283333","7.041","0.98","""ml""","38","72","0.03172","0.15","""ci""","id237","1457709239742","""11km NE of Running Springs, CA""","earthquake"
"1415538792390","38.8230019","-122.8306656","2.071","0.43","""md""","10","99","0.003604","0.03","""nc""","id238","1486263729535","""8km NW of The Geysers, California""","earthquake"
"1415538575330","38.8380013","-122.7711639","1.36","0.51","""md""","8","143","0.006306","0.01","""nc""","id240","1486263724493","""4km WNW of Cobb, California""","earthquake"
"1415538304620","38.8400002","-122.7843323","1.424","0.43","""md""","12","126","0.004505","0.02","""nc""","id241","1486263719370","""5km WNW of Cobb, California""","earthquake"
"1415538118180","37.6296667","-121.7658333","7.891","1.63","""md""","37","101","0.00991","0.14","""nc""","id242","1486263713180","""5km S of Livermore, California""","earthquake"
"1415537373790","33.6623333","-116.7616667","17.438","0.76","""ml""","30","50","0.06278","0.12","""ci""","id247","1457750243749","""10km SSW of Idyllwild, CA""","earthquake"
"1415536736472","39.4011","-119.559","6.8289","0.87","""ml""","11","162.45","0.127","0.1181","""nn""","id249","1415545629831","""12km NE of Virginia City, Nevada""","earthquake"
"1415536132490","38.6728333","-122.76","3.804","1.36","""md""","34","44","0.03784","0.08","""nc""","id250","1486263701540","""11km NE of Healdsburg, California""","earthquake"
"1415535781750","34.284","-117.0261667","7.769","0.64","""ml""","19","87","0.03206","0.15","""ci""","id253","1457763710019","""11km NE of Running Springs, CA""","earthquake"
"1415535598341","41.9039","-119.6564","0","0.55","""ml""","3","239.55","0.481","0.1363","""nn""","id255","1420235666883","""65km ESE of Lakeview, Oregon""","earthquake"
"1415535271703","41.8941","-119.5986","0","1.25","""ml""","3","242.06","0.525","0.1108","""nn""","id257","1420233771589","""69km ESE of Lakeview, Oregon""","earthquake"
"1415535246370","38.8191667","-122.7925","3.678","0.22","""md""","14","91","0.01171","0.03","""nc""","id258","1486263690816","""5km NW of The Geysers, California""","earthquake"
"1415535227210","38.7576667","-122.7008333","0.162","0.72","""md""","19","112","0.01081","0.06","""nc""","id259","1486263685905","""5km ESE of The Geysers, California""","earthquake"
"1415535161561","41.6871","-119.6975","14.1939","1.32","""ml""","3","267.77","0.5","0.1271","""nn""","id260","1415543296377","""73km ENE of Alturas, California""","earthquake"
"1415534895918","41.8515","-119.6292","0","0.84","""ml""","3","322.53","0.504","0.1341","""nn""","id262","1420233495271","""70km ESE of Lakeview, Oregon""","earthquake"
"1415534832004","41.8916","-119.6288","1.0723","1","""ml""","3","319.31","0.502","0.0436","""nn""","id263","1420233224289","""67km ESE of Lakeview, Oregon""","earthquake"
"1415533955220","38.8378334","-122.8118362","0.269","0.67","""md""","11","67","0.01441","0.02","""nc""","id265","1486263680867","""7km WNW of Cobb, California""","earthquake"
"1415533187950","38.8273315","-122.854332","1.479","0.08","""md""","8","120","0.001802","0.01","""nc""","id267","1486263675680","""Northern California""","earthquake"
"1415532818740","38.7929993","-122.7590027","2.126","0.48","""md""","11","71","0.01982","0.02","""nc""","id268","1486263670677","""1km N of The Geysers, California""","earthquake"
"1415532271240","36.2283333","-118.3176667","3.156","2.01","""ml""","31","125","0.07619","0.19","""ci""","id269","1457702545343","""29km WSW of Olancha, CA""","earthquake"
"1415532142130","44.4558333","-110.4223333","5.98","1.2","""md""","7","111","0.1054","0.05","""uu""","id270","1415656057090","""32km E of Old Faithful Geyser, Wyoming""","earthquake"
"1415532031460","36.2475","-120.8096667","5.828","1.24","""md""","16","145","0.03243","0.03","""nc""","id271","1486263665725","""28km E of King City, California""","earthquake"
"1415530360030","33.6176667","-116.6641667","13.586","0.01","""ml""","15","90","0.04482","0.09","""ci""","id274","1457736795038","""7km N of Anza, CA""","earthquake"
"1415530292250","41.9256","-119.6421","1.0252","1.95","""ml""","4","236.97","0.492","0.1886","""nn""","id275","1415543026132","""65km ESE of Lakeview, Oregon""","earthquake"
"1415529819800","41.7478333","-71.8978333","4.23","0.76","""ml""","4","138","0.2444","0.06","""ld""","id276","1464301253520","""southern New England""","earthquake"
"1415529744280","41.7491667","-71.901","4.41","1.5","""ml""","6","90","0.2459","0.16","""ld""","id277","1464298094210","""southern New England""","earthquake"
"1415529607424","41.8913","-119.6225","0.1575","2.19","""ml""","4","241.95","0.507","0.0559","""nn""","id278","1415543019845","""68km ESE of Lakeview, Oregon""","earthquake"
"1415529207710","38.8048325","-122.8144989","0.367","0.55","""md""","6","185","0.01171","0.01","""nc""","id280","1486263660327","""5km WNW of The Geysers, California""","earthquake"
"1415528027330","38.8423347","-122.8401642","1.694","0.43","""md""","10","100","0.005405","0.02","""nc""","id281","1486263655377","""10km WNW of Cobb, California""","earthquake"
"1415527545570","44.4491667","-110.4063333","6","0.58","""md""","7","116","0.1041","0.07","""uu""","id282","1415655592470","""33km E of Old Faithful Geyser, Wyoming""","earthquake"
"1415527369720","38.8101667","-122.8266667","2.348","0.19","""md""","16","98","0.002703","0.04","""nc""","id284","1486263650489","""7km WNW of The Geysers, California""","earthquake"
"1415527364000","18.3563","-67.3667","18","2.5","""Md""","4","327.6","0.32069856","0.05","""pr""","id285","1426811970525","""12km W of Rincon, Puerto Rico""","earthquake"
"1415527314745","41.8788","-119.6205","0","1.09","""ml""","3","243.59","0.509","0.1075","""nn""","id286","1420232943826","""69km ESE of Lakeview, Oregon""","earthquake"
"1415527142930","35.992","-120.9353333","11.22","1.71","""md""","62","34","0.04955","0.08","""nc""","id287","1486263643820","""29km SE of King City, California""","earthquake"
